Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2321372,6/4/2022,Arkansas,Hot Springs National Park (Hot Springs),103 Coppertop Trail,2,1,N/A,34.493607,-93.137322,1,rooftop,103,Copper Top Trl,,,Hot Springs National Park,AR,Garland County,71913,US,Garland
2321366,6/4/2022,Arkansas,Jonesboro,216 S Gee St,1,1,N/A,35.842684,-90.725425,1,range_interpolation,216,S Gee St,,,Jonesboro,AR,Craighead County,72401,US,TIGER/Line® dataset from the US Census Bureau
2321363,6/4/2022,Arkansas,Little Rock,5200 block of S University Ave,0,1,N/A,34.746905,-92.280049,0.5,place,,,,,Little Rock,AR,Pulaski County,72201,US,TIGER/Line® dataset from the US Census Bureau
2320461,6/4/2022,Michigan,Warren,Sidonie Ave,0,1,N/A,42.454802,-82.994468,1,street_center,,Sidonie Ave,,,Warren,MI,Macomb County,48089,US,TIGER/Line® dataset from the US Census Bureau
2320448,6/4/2022,Minnesota,Minneapolis,N 37th Ave and Penn Ave N,0,2,N/A,45.022262,-93.308304,0.8,intersection,,37th Ave N,,,Minneapolis,MN,Hennepin County,55412,US,TIGER/Line® dataset from the US Census Bureau
2321298,6/4/2022,Pennsylvania,Philadelphia,4140 N Broad St,0,1,N/A,40.016342,-75.149859,1,range_interpolation,4140,N Broad St,,,Philadelphia,PA,Philadelphia County,19140,US,TIGER/Line® dataset from the US Census Bureau
2321304,6/4/2022,Pennsylvania,Philadelphia,2200 block of Broad Street,0,1,N/A,40.001811,-75.11787,0.5,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
2321300,6/4/2022,Pennsylvania,Philadelphia,Boston Street,0,1,N/A,39.989859,-75.154797,0.9,street_center,,W Boston St,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
2321296,6/4/2022,Pennsylvania,Philadelphia,West Susquehanna Avenue,0,1,N/A,39.985803,-75.153602,1,street_center,,W Susquehanna Ave,,,Philadelphia,PA,Philadelphia County,19122,US,TIGER/Line® dataset from the US Census Bureau
2321282,6/4/2022,Virginia,Portsmouth,2000 block of County St,0,1,N/A,36.833105,-76.323985,0.9,range_interpolation,2000,County St,,,Portsmouth,VA,Portsmouth City,23704,US,TIGER/Line® dataset from the US Census Bureau
2321260,6/4/2022,New York,Troy,Fifth Ave and Rensselear St,0,1,N/A,42.743004,-73.683854,1,intersection,,5th Ave,,,Troy,NY,Rensselaer County,12180,US,TIGER/Line® dataset from the US Census Bureau
2321254,6/4/2022,Alabama,Mobile,Calais St,0,1,N/A,30.685623,-88.117918,1,street_center,,Calais St,,,Mobile,AL,Mobile County,36606,US,TIGER/Line® dataset from the US Census Bureau
2321240,6/4/2022,New York,Rochester,221 Emerson St,1,1,N/A,43.173402,-77.63561,1,rooftop,221,Emerson St,,,Rochester,NY,Monroe County,14613,US,City of Rochester
2321238,6/4/2022,New York,Rochester,100 block of First St,0,1,N/A,43.156612,-77.604023,0.5,place,,,,,Rochester,NY,Monroe County,14604,US,TIGER/Line® dataset from the US Census Bureau
2320543,6/4/2022,New York,Rochester,Atlantic Ave and Merriman St,0,1,N/A,43.155992,-77.581944,1,intersection,,Atlantic Ave,,,Rochester,NY,Monroe County,14607,US,TIGER/Line® dataset from the US Census Bureau
2321236,6/4/2022,New York,New York (Manhattan),W 204th St and Sherman Ave,0,1,N/A,40.8651,-73.921883,1,intersection,,Sherman Ave,,,New York,NY,New York County,10034,US,TIGER/Line® dataset from the US Census Bureau
2321233,6/4/2022,Alabama,Birmingham,1200 block of Oakwood St,0,2,N/A,33.456412,-86.801904,0.5,place,,,,,Birmingham,AL,Jefferson County,35201,US,TIGER/Line® dataset from the US Census Bureau
2321219,6/3/2022,North Carolina,Goldsboro,N George St and Pearson St,1,1,N/A,35.396333,-77.995204,1,intersection,,N George St,,,Goldsboro,NC,Wayne County,27530,US,TIGER/Line® dataset from the US Census Bureau
2321203,6/3/2022,Nevada,Las Vegas,1000 block of Sierra Vista Dr,1,1,N/A,36.18262,-115.233656,0.5,range_interpolation,1000,N Torrey Pines Dr,,,Las Vegas,NV,Clark County,89107,US,TIGER/Line® dataset from the US Census Bureau
2320271,6/3/2022,North Carolina,Asheboro,1600 Block of Traci St,0,2,N/A,35.741568,-79.806953,0.9,range_interpolation,1600,Traci St,,,Asheboro,NC,Randolph County,27203,US,TIGER/Line® dataset from the US Census Bureau
2320331,6/3/2022,Kentucky,Oak Grove,1900 block of Timberline Cir,0,1,N/A,36.66505,-87.44279,0.5,place,,,,,Oak Grove,KY,Christian County,42262,US,TIGER/Line® dataset from the US Census Bureau
2320327,6/3/2022,Illinois,Chicago,7000 block of S Merrill Ave,0,1,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2320321,6/3/2022,Illinois,Chicago,4900 block of S Champlain Ave,0,1,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2320288,6/3/2022,North Carolina,Raleigh,5902 Whittier Dr,0,1,N/A,35.862475,-78.643549,1,range_interpolation,5902,Whittier Dr,,,Raleigh,NC,Wake County,27609,US,TIGER/Line® dataset from the US Census Bureau
2320262,6/3/2022,Tennessee,Knoxville,1823 Riverside Dr,0,1,N/A,35.965588,-83.894249,1,range_interpolation,1823,Riverside Dr,,,Knoxville,TN,Knox County,37915,US,TIGER/Line® dataset from the US Census Bureau
2320266,6/3/2022,North Carolina,Greensboro,2 Hiltin Pl,0,1,N/A,36.073147,-79.887314,1,rooftop,2,Hiltin Pl,,,Greensboro,NC,Guilford County,27409,US,City of Greensboro
2321130,6/3/2022,Minnesota,Pine Point,N/A,0,1,N/A,47.096049,-92.599359,0.55,place,,,,,Payne,MN,St. Louis County,55765,US,TIGER/Line® dataset from the US Census Bureau
2320258,6/3/2022,Michigan,Saginaw,100 block of Hamilton St,0,1,N/A,43.41242,-83.886873,0.5,place,,,,,Saginaw,MI,Saginaw County,48601,US,TIGER/Line® dataset from the US Census Bureau
2320255,6/3/2022,Illinois,Carbondale,800 block of N Marion St,0,1,N/A,37.729571,-88.912852,0.5,place,,,,,Marion,IL,Williamson County,62959,US,TIGER/Line® dataset from the US Census Bureau
2320324,6/3/2022,Virginia,Richmond,400 block of N Laburnum Ave,0,1,N/A,37.524246,-77.493157,0.5,place,,,,,Richmond,VA,Richmond City,23218,US,TIGER/Line® dataset from the US Census Bureau
2320344,6/3/2022,New Jersey,West New York,311 59th St,1,1,N/A,40.786583,-74.013731,1,rooftop,311,59th St,,,West New York,NJ,Hudson County,7093,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
2321079,6/3/2022,New York,Syracuse,104 Radisson Ct,0,1,N/A,43.040108,-76.145056,1,rooftop,104,Radisson Ct,,,Syracuse,NY,Onondaga County,13202,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
2320437,6/3/2022,Minnesota,Minneapolis,1721 University Ave SE,0,1,N/A,44.977736,-93.231211,1,rooftop,1721,University Ave SE,,,Minneapolis,MN,Hennepin County,55414,US,Hennepin
2321067,6/3/2022,South Carolina,Warrenville,100 block of Peltzer St,1,1,N/A,33.526017,-81.795561,0.5,place,,,,,Warrenville,SC,Aiken County,29851,US,TIGER/Line® dataset from the US Census Bureau
2320220,6/3/2022,Michigan,Lansing,1300 block of Indiana Ave,0,1,N/A,42.747923,-84.514367,0.59,nearest_rooftop_match,1245,Blake Ave,,,Lansing,MI,Ingham County,48912,US,Ingham
2320218,6/3/2022,Michigan,Lansing,2900 block of Cabot Dr,0,1,N/A,42.599184,-84.371973,0.5,place,,,,,Lansing,MI,Ingham County,48901,US,TIGER/Line® dataset from the US Census Bureau
2320292,6/3/2022,West Virginia,Birch River,537 Old Rte 19,2,2,N/A,38.492882,-80.757712,1,range_interpolation,537,Old Rte 19,,,Birch River,WV,Nicholas County,26610,US,TIGER/Line® dataset from the US Census Bureau
