Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2275242,4/10/2022,Louisiana,Baton Rouge,2700 block of Lorraine St,0,4,N/A,30.44924,-91.185607,0.5,place,,,,,Baton Rouge,LA,East Baton Rouge Parish,70801,US,TIGER/Line® dataset from the US Census Bureau
2274790,4/10/2022,Iowa,Cedar Rapids,415 3rd St SE,2,10,N/A,41.976171,-91.664668,1,rooftop,415,3rd St SE,,,Cedar Rapids,IA,Linn County,52401,US,Linn
2274803,4/10/2022,Illinois,Elgin,958 Congdon Ave,2,4,N/A,42.057294,-88.255026,1,rooftop,958,Congdon Ave,,,Elgin,IL,Cook County,60120,US,Cook
2275283,4/10/2022,California,Willowbrook,Blakley Ave and E 122nd Pl,2,5,N/A,33.922092,-118.247319,0.8,intersection,,Blakley Ave,,,Los Angeles,CA,Los Angeles County,90059,US,TIGER/Line® dataset from the US Census Bureau
2274783,4/10/2022,Indiana,Indianapolis,4270 W 38th St,1,5,N/A,39.825449,-86.233058,1,rooftop,4270,W 38th St,,,Indianapolis,IN,Marion County,46254,US,Statewide IN
2274855,4/9/2022,District of Columbia,Washington,O St SW and Half St SW,0,4,N/A,38.87296,-77.010651,1,intersection,,Half St SW,,,Washington,DC,District of Columbia,20024,US,TIGER/Line® dataset from the US Census Bureau
2274296,4/9/2022,Florida,Miami,6816 NW 15th Ave,0,4,N/A,25.83641,-80.223292,1,rooftop,6816,NW 15th Ave,,,Miami,FL,Miami-Dade County,33147,US,Miami2
2272394,4/6/2022,Pennsylvania,Philadelphia,Griscom St and Arrott St,1,4,N/A,40.017055,-75.084728,1,intersection,,Arrott St,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
2270747,4/4/2022,Kentucky,Covington,Russell St and W 16th St,0,4,N/A,39.071241,-84.510271,0.96,intersection,,Russell St,,,Covington,KY,Kenton County,41011,US,TIGER/Line® dataset from the US Census Bureau
2270578,4/4/2022,Connecticut,Hartford,Bedford St and Mather St,1,3,N/A,41.77758,-72.684635,0.73,intersection,,Bedford St,,,Hartford,CT,Hartford County,6120,US,TIGER/Line® dataset from the US Census Bureau
2269429,4/3/2022,New York,Buffalo,400 block of Genesee St,0,4,N/A,42.89606,-78.886424,0.5,place,,,,,Buffalo,NY,Erie County,14201,US,TIGER/Line® dataset from the US Census Bureau
2269745,4/3/2022,California,San Francisco,670 Brunswick St,2,2,N/A,37.709532,-122.447003,1,rooftop,670,Brunswick St,,,San Francisco,CA,San Francisco County,94112,US,San Francisco
