Incident ID,Incident Date,State,City Or County,Address,Killed,Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2305308,17-May-22,Arkansas,Little Rock,800 Broadway St,1,0,N/A,34.741627,-92.27686,1,rooftop,800,Broadway St,,,Little Rock,AR,Pulaski County,72201,US,Pulaski
2305927,17-May-22,Arkansas,North Little Rock,5500 block of Springvale Rd,1,0,N/A,34.807674,-92.2513,0.9,range_interpolation,5500,Springvale Rd,,,North Little Rock,AR,Pulaski County,72116,US,TIGER/Line® dataset from the US Census Bureau
2305811,17-May-22,California,San Jose,1640 Hermocilla Way,1,0,N/A,37.346013,-121.851562,1,rooftop,1640,Hermocilla Way,,,San Jose,CA,Santa Clara County,95116,US,City of San Jose2
2305045,17-May-22,Virginia,Norfolk,1400 block of W Little Creek Rd,1,0,N/A,36.895911,-76.208521,0.5,place,,,,,Norfolk,VA,Norfolk City,23501,US,TIGER/Line® dataset from the US Census Bureau
2305208,17-May-22,California,Palo Alto (East Palo Alto),2500 block of Fordham St,1,3,N/A,37.444122,-122.149915,0.5,place,,,,,Palo Alto,CA,Santa Clara County,94301,US,TIGER/Line® dataset from the US Census Bureau
2306146,17-May-22,Missouri,Halfway,S 207th Rd,1,0,N/A,37.556613,-93.256265,0.6,street_center,,S 207th Rd,,,Half Way,MO,Polk County,65663,US,TIGER/Line® dataset from the US Census Bureau
2305089,17-May-22,Missouri,Kansas City,3319 Linwood Blvd,1,0,N/A,39.067469,-94.544067,0.9,rooftop,3319,E Linwood Blvd,,,Kansas City,MO,Jackson County,64128,US,Jackson
2304950,17-May-22,North Carolina,Kure Beach,Fort Fisher Blvd and Ocean View Ave,2,0,N/A,33.982689,-77.911634,0.9,street_center,,Ft Fisher Blvd S,,,Kure Beach,NC,New Hanover County,28449,US,TIGER/Line® dataset from the US Census Bureau
2305036,17-May-22,Virginia,Danville,1575 Richmond Blvd,1,0,N/A,36.603471,-79.37157,1,rooftop,1575,Richmond Blvd,,,Danville,VA,Danville City,24540,US,City of Danville
2305437,17-May-22,Tennessee,Lenoir City,W 2nd Ave,1,0,N/A,35.788547,-84.273554,0.6,street_center,,W 2nd Ave,,,Lenoir City,TN,Loudon County,37771,US,TIGER/Line® dataset from the US Census Bureau
2305797,17-May-22,California,Richmond,1500 block of Ohio Ave,1,0,N/A,37.947523,-122.384032,0.5,place,,,,,Richmond,CA,Contra Costa County,94801,US,TIGER/Line® dataset from the US Census Bureau
2306338,17-May-22,Ohio,Akron,900 block of East Ave,1,0,N/A,41.04349,-81.524017,0.5,place,,,,,Akron,OH,Summit County,44301,US,TIGER/Line® dataset from the US Census Bureau
2305462,17-May-22,Texas,San Antonio,1543 Babcock Rd,1,0,N/A,29.491385,-98.568164,1,rooftop,1543,Babcock Rd,,,San Antonio,TX,Bexar County,78229,US,San Antonio
2304915,17-May-22,North Carolina,Statesville,Fifth St,1,0,N/A,35.770732,-80.889639,1,street_center,,5th St,,,Statesville,NC,Iredell County,28677,US,TIGER/Line® dataset from the US Census Bureau
2306651,17-May-22,New Jersey,Camden,721 State St,1,0,N/A,39.952245,-75.115167,1,range_interpolation,721,State St,,,Camden,NJ,Camden County,8102,US,TIGER/Line® dataset from the US Census Bureau
2304863,17-May-22,South Carolina,Summerville,Gains Mill Dr,1,0,N/A,33.041184,-80.089769,1,street_center,,Gains Mill Dr,,,Summerville,SC,Berkeley County,29483,US,TIGER/Line® dataset from the US Census Bureau
2305417,17-May-22,Texas,Houston,9307 Boone Rd,1,1,N/A,29.676772,-95.573571,1,rooftop,9307,Boone Rd,,,Houston,TX,Harris County,77099,US,Greater Houston
2304959,17-May-22,Illinois,Chicago,5300 block of W Van Buren St,1,0,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2305630,17-May-22,Delaware,Georgetown,22000 block of Deep Branch Rd,1,0,N/A,38.632891,-75.334263,0.5,place,,,,,Georgetown,DE,Sussex County,19947,US,TIGER/Line® dataset from the US Census Bureau
2305579,17-May-22,California,Fresno,5700 block of Cromwell Ave,1,0,N/A,36.8411,-119.801015,0.5,place,,,,,Fresno,CA,Fresno County,93650,US,TIGER/Line® dataset from the US Census Bureau
2305214,17-May-22,Kansas,Lawrence,3504 Clinton Pkwy,2,0,N/A,38.944342,-95.280639,1,rooftop,3504,Clinton Pkwy,,,Lawrence,KS,Douglas County,66047,US,Douglas
2305347,17-May-22,Ohio,Cleveland,E 129th St and Arlington Ave,1,0,N/A,41.534696,-81.593437,0.9,intersection,,Arlington Ave,,,Cleveland,OH,Cuyahoga County,44108,US,TIGER/Line® dataset from the US Census Bureau
2305252,17-May-22,Louisiana,Shreveport,6200 block of Southern Ave,1,0,N/A,32.498202,-93.750228,0.5,place,,,,,Shreveport,LA,Caddo Parish,71101,US,TIGER/Line® dataset from the US Census Bureau
2305405,17-May-22,Texas,Galena Park,4th St and Bank Dr,1,2,N/A,29.735363,-95.251871,0.87,intersection,,4th St,,,Galena Park,TX,Harris County,77547,US,TIGER/Line® dataset from the US Census Bureau
2306413,17-May-22,Indiana,South Bend,119 S Michigan St,1,0,N/A,41.676123,-86.250505,1,range_interpolation,119,S Michigan St,,,South Bend,IN,St. Joseph County,46601,US,TIGER/Line® dataset from the US Census Bureau
2304491,17-May-22,Florida,Pensacola,34 Patton Dr,1,0,N/A,30.395006,-87.282134,1,rooftop,34,Patton Dr,,,Pensacola,FL,Escambia County,32507,US,MapWise (and individual Florida counties)
2304531,17-May-22,Texas,Fort Worth,4700 block of Burton Ave,1,0,N/A,32.771419,-97.291484,0.5,place,,,,,Fort Worth,TX,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
2305302,17-May-22,Nevada,Las Vegas,4870 Nellis Oasis Ln,1,0,N/A,36.223449,-115.067123,0.95,range_interpolation,4870,Nellis Oasis Ln,,,Las Vegas,NV,Clark County,89115,US,TIGER/Line® dataset from the US Census Bureau
2305042,17-May-22,Kentucky,Lexington,New Circle Rd and Meadow Ln,1,0,N/A,38.055702,-84.460571,0.99,intersection,,Meadow Ln,,,Lexington,KY,Fayette County,40505,US,TIGER/Line® dataset from the US Census Bureau
2305324,17-May-22,Pennsylvania,Philadelphia,4701 Frankford Ave,1,0,N/A,40.016761,-75.083345,1,rooftop,4701,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
2304447,17-May-22,Pennsylvania,Philadelphia,N 55th St and Media St,1,0,N/A,39.975304,-75.23149,1,intersection,,Media St,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
2305380,17-May-22,Texas,Arlington,6016 S Cooper St,1,0,N/A,32.647086,-97.134647,1,rooftop,6016,S Cooper St,,,Arlington,TX,Tarrant County,76001,US,Tarrant County
2306229,17-May-22,Washington,Tacoma,7600 block of Pacific Ave,1,0,N/A,47.26455,-122.25012,0.5,place,,,,,Pacific,WA,King County,98047,US,TIGER/Line® dataset from the US Census Bureau
2306214,17-May-22,New Jersey,Camden,1 E Randolph St,1,1,N/A,39.940714,-75.092997,0.7,street_center,,E Randolph St,,,Camden,NJ,Camden County,8105,US,TIGER/Line® dataset from the US Census Bureau
2305862,17-May-22,North Carolina,Raleigh,6601 The Lakes Dr,1,0,N/A,35.867193,-78.627718,1,rooftop,6601,The Lakes Dr,,,Raleigh,NC,Wake County,27609,US,Wake
2306192,17-May-22,Oklahoma,Luther,N/A,1,0,N/A,35.632093,-97.212206,0.5,place,,,,,Luther,OK,Oklahoma County,73054,US,TIGER/Line® dataset from the US Census Bureau
2305263,17-May-22,Louisiana,Monroe,Mississippi St and  Winnsboro Rd,1,0,N/A,32.480139,-92.10454,0.91,intersection,,Mississippi St,,,Monroe,LA,Ouachita Parish,71202,US,TIGER/Line® dataset from the US Census Bureau
2307071,17-May-22,Texas,Dallas,6700 block of Eastridge Dr,1,0,N/A,32.669138,-96.796554,0.7,range_interpolation,6700,Troy Glen Dr,,,Dallas,TX,Dallas County,75241,US,TIGER/Line® dataset from the US Census Bureau
2305031,17-May-22,Tennessee,Memphis,Lamar Ave and Pleasant Hill Rd,1,0,N/A,35.026589,-89.903396,0.98,intersection,,Lamar Ave,,,Memphis,TN,Shelby County,38118,US,TIGER/Line® dataset from the US Census Bureau
2305059,17-May-22,Missouri,Fenton,1200 block of N Highway Dr,2,0,N/A,38.760433,-90.227453,0.8,rooftop,1200,Darr Dr,,,Saint Louis,MO,St. Louis County,63137,US,St Louis
2304437,17-May-22,Texas,Waco,5301 Bosque Blvd,1,0,N/A,31.533649,-97.194033,1,rooftop,5301,Bosque Blvd,,,Waco,TX,McLennan County,76710,US,City of Waco
2304218,16-May-22,Virginia,Virginia Beach,100 block of Sea Cove Court,1,0,N/A,36.844004,-76.12036,0.5,place,,,,,Virginia Beach,VA,Virginia Beach City,23450,US,TIGER/Line® dataset from the US Census Bureau
2304648,16-May-22,Wisconsin,Milwaukee,3120 N 37th St,1,0,N/A,43.075711,-87.959353,1,rooftop,3120,N 37th St,,,Milwaukee,WI,Milwaukee County,53216,US,City of Milwaukee
2304264,16-May-22,Tennessee,Antioch,300 block of Hickory Hollow Terrace,1,1,N/A,36.170556,-86.8825,0.5,place,,,,,Antioch,TN,Davidson County,37011,US,TIGER/Line® dataset from the US Census Bureau
2305386,16-May-22,New York,Bronx,Shore Rd,2,0,N/A,40.860041,-73.8169,1,street_center,,Shore Rd,,,Bronx,NY,Bronx County,10464,US,TIGER/Line® dataset from the US Census Bureau
2303501,16-May-22,Texas,Houston,6113 Gulf Fwy,1,0,N/A,29.71637,-95.310803,1,rooftop,6113,Gulf Fwy,,,Houston,TX,Harris County,77023,US,Greater Houston
